gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,2373,2659,2372,2795,2843,3011,2844,2887,2776,2668
Male Sender,1987,1867,1849,1957,1957,2278,2153,2180,2555,2061
