type_of_recipient,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
AM (London),1614,2429,2024,1780,978,920,1191
AM (Northern Ireland),1066,907,863,1685,962,365,524
AM (Wales),565,573,469,346,489,367,290
Councillors,12088,13683,14245,11805,9507,6503,8045
Lords,446,427,371,406,484,532,406
MEP,183,192,229,243,148,94,86
MP,26875,32861,28959,22982,18999,14946,22570
MSP,4868,4542,4852,4220,3000,2138,2333
