type_of_recipient,A1,B1,C1,C2,D1,D2,E1,E2
AM (London),10891.0,,30.0,,12.0,,3.0,
AM (Wales),,,1962.0,52.0,293.0,102.0,397.0,293.0
Councillors,32003.0,2019.0,20248.0,56.0,2860.0,100.0,2309.0,205.0
Lords,898.0,46.0,1175.0,6.0,255.0,10.0,248.0,47.0
MEP,421.0,43.0,426.0,5.0,98.0,,103.0,5.0
MP,53160.0,4544.0,65145.0,334.0,15496.0,820.0,14470.0,1858.0
