gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,5730,7900,9689,11289,11433,11365,11635,11871,12215,13580
Male Sender,5168,7237,8247,9414,9903,10395,10785,10947,11494,13000
