gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,7727,8259,8421,8596,7925,7213,6826,6234,5727,5328
Male Representatives,10405,11782,11548,12120,12885,13147,13562,14013,14008,14192
