gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3196,4248,4735,5694,6914,7552,8555,9058,9811,12493
Male Representatives,6052,7850,9597,11364,12473,13653,14903,15782,17369,18619
