answer_survey,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,9422,5026,17408,9452,17335,51716,11084,9329,11498,12549,18057,10300
Yes,4663,4421,9854,7362,17689,24258,6657,4552,7178,7508,12922,4435
