answer_survey,1,2,3,4,5,6,7,8,9,10
No,427.0,468.0,511.0,492.0,674.0,600.0,714.0,972.0,723.0,1023.0
Yes,156.0,262.0,268.0,326.0,390.0,421.0,521.0,611.0,589.0,563.0
