gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,20949,11223,8553,8237,7807,7731,7902,6928,6831,7695
Male Representatives,21077,16137,14872,15540,16455,16424,16833,16205,16951,21410
