gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1727,1302,1303,1294,1137,1513,1376,1745,1861,2570
Male Representatives,4244,2906,2634,2601,2461,2644,2930,3117,3795,4729
