year,1,2,3,4,5,6,7,8,9,10
2012,3924,4205,4290,4593,4865,5025,5580,6118,6456,6632
2013,5371,5409,5912,6384,6579,7435,7752,8870,9856,9613
2014,6358,7716,7232,8003,8549,9046,9688,10792,12039,11878
2015,7239,8594,8920,10105,10718,11282,11241,12181,12085,11591
2016,8746,11129,11810,13095,13725,15566,15969,16276,16198,14665
2017,9764,11934,12308,13080,13790,15388,16952,16810,16984,15620
2018,11979,13658,15020,16488,17408,18554,21539,22395,22086,20133
2019,13913,14914,17317,18810,19588,21768,24251,24703,24932,22045
2020,17802,18826,21211,22931,23920,26584,31275,32302,33147,29900
