status,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Not Reported Fixed,100501,102346,102820,76522,73014,82503,83006,79567,80211,81115,83967,82537
Reported Fixed,65015,60368,59845,47974,44798,50835,52304,49118,47359,49004,49728,48982
