status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,6012,5425,5025,6209,6097,6915,7888,7322,7266,8294
Reported Fixed,2121,2539,2305,2765,3126,3388,3812,3816,3749,4223
