repeat_use,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
First Report,3521,1597,871,612,589,938,2722,7214,14078,20281,21058,21431,20869,20281,20100,19723,19552,17989,17011,16334,15820,14514,11924,7243
Reported Before,11968,5498,2844,1888,1698,3523,11545,32501,60180,74908,76596,76069,73063,71082,70738,71404,70954,66230,62055,57257,53254,48020,39814,24413
