status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,4222,4032,2854,3165,3357,3500,3026,2545,2452,2555
Reported Fixed,1902,1683,1304,1629,1380,1829,1454,1325,1468,1426
