status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3750,3531,3170,3609,3283,4060,3022,2813,3378,4413
Reported Fixed,1433,1647,1285,1830,1733,2149,1815,1694,2170,2343
