method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FixMyStreet.com,14403,6547,3402,2184,1859,3058,9104,25674,54977,80211,85011,85019,81423,80204,79738,79407,78360,69118,63618,61295,59799,54563,45650,28656
Mobile,4489,2245,1210,908,901,2014,6643,19155,32542,36892,36523,36646,35078,34133,33998,33871,31622,30091,28544,25009,22383,19613,16174,9475
