year,1,2,3,4,5,6,7,8,9,10
2007,50.0,57.0,63.0,68.0,104.0,76.0,87.0,82.0,107.0,83.0
2008,283.0,337.0,359.0,393.0,413.0,456.0,402.0,401.0,456.0,509.0
2009,310.0,392.0,389.0,485.0,493.0,469.0,432.0,404.0,420.0,369.0
2010,372.0,535.0,506.0,577.0,567.0,564.0,629.0,579.0,622.0,594.0
2011,689.0,736.0,648.0,870.0,870.0,761.0,830.0,857.0,886.0,881.0
2012,556.0,584.0,528.0,639.0,800.0,689.0,754.0,692.0,636.0,677.0
2013,506.0,574.0,473.0,649.0,658.0,763.0,809.0,732.0,609.0,735.0
2014,480.0,506.0,454.0,600.0,656.0,667.0,665.0,705.0,682.0,720.0
2015,464.0,536.0,531.0,707.0,678.0,677.0,782.0,770.0,703.0,842.0
2016,554.0,591.0,643.0,795.0,791.0,853.0,1167.0,996.0,877.0,971.0
2017,530.0,704.0,618.0,768.0,844.0,877.0,1084.0,922.0,883.0,1012.0
2018,928.0,803.0,897.0,1286.0,1209.0,1415.0,1700.0,1379.0,1233.0,1285.0
2019,901.0,868.0,804.0,887.0,840.0,995.0,1312.0,1088.0,1011.0,1051.0
2020,1068.0,1117.0,967.0,1086.0,910.0,1218.0,1450.0,1315.0,1182.0,1186.0
