status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,84928,90307,95989,107154,107071,110012,113868,107843,105894,103136
Reported Fixed,42097,62340,65575,71233,64412,64672,65135,63852,64336,60950
