year,1,2,3,4,5,6,7,8,9,10
2007,833,798,789,820,947,952,911,902,928,1037
2008,1909,1648,1690,1688,1760,1736,1926,1776,1720,2015
2009,3168,3420,3438,3426,3440,3509,3761,3614,3750,4079
2010,3895,4256,4296,4645,5031,4561,5000,5101,5124,6337
2011,4461,4857,4907,4848,4986,4771,5146,5310,5710,6347
2012,4685,5212,5258,5414,5807,5734,5948,6208,6420,7111
2013,5720,5841,6245,6792,7262,7052,7912,8083,8912,9362
2014,7342,7795,7889,8528,9077,8716,9817,9887,10652,11598
2015,8188,8988,9175,10851,11508,10663,11042,11385,10779,11377
2016,9901,11799,12349,14116,15287,15582,14687,15319,13912,14227
2017,11162,12523,12763,14486,15663,15476,15277,15562,14901,14817
2018,13558,15321,16330,18512,19840,19992,21221,20571,19521,19716
2019,17054,20055,21575,25585,25536,25347,28149,26034,25335,22848
2020,21051,26287,27640,31377,32483,31736,36609,34148,35323,32515
