status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,4505,4313,4244,5213,5175,5616,6704,5944,5151,5679
Reported Fixed,1395,1867,1587,2095,2093,2437,2911,2529,2563,2706
