answered_survey,1,2,3,4,5,6,7,8,9,10
No,9360.0,4705.0,4723.0,3458.0,3756.0,4115.0,4498.0,3028.0,3063.0,2993.0
Yes,1302.0,1007.0,1071.0,830.0,854.0,1109.0,1089.0,794.0,762.0,696.0
