status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,74887,81014,89758,99670,97418,102825,102140,93515,94517,88905
Reported Fixed,38366,58187,62641,67468,60535,62114,59594,55746,57433,52559
