year,2-20 Reports,21-50 Reports,50+ Reports,One Report
2007,4430.0,612.0,1014.0,3882.0
2008,9373.0,1895.0,4096.0,7120.0
2009,18276.0,3978.0,6153.0,12621.0
2010,24439.0,6709.0,11168.0,13252.0
2011,26097.0,8054.0,14240.0,12976.0
2012,26739.0,8606.0,17549.0,13816.0
2013,32818.0,11545.0,23180.0,14401.0
2014,40787.0,15228.0,29403.0,15886.0
2015,42641.0,17686.0,37575.0,16709.0
2016,52751.0,23091.0,54805.0,20015.0
2017,57596.0,25062.0,51520.0,22401.0
2018,75975.0,32542.0,68438.0,27917.0
2019,86521.0,33997.0,105984.0,29384.0
2020,9296.0,3103.0,8119.0,3324.0
