status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,7066,5869,3997,4144,4427,4502,5500,4657,6141,6245
Reported Fixed,3184,2452,1716,1742,1950,1655,2101,1906,2525,2956
