status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,72823,75472,76814,82890,86322,92674,95123,96695,92345,89726
Reported Fixed,33173,52211,52077,52017,54595,53058,50680,52863,52271,49681
