status,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Not Reported Fixed,12140,5870,3092,2080,1917,3367,9513,26415,51561,69833,73579,74873,72648,71456,70855,70799,68563,62215,58461,54693,52372,47762,39753,24292
Reported Fixed,6752,2922,1520,1012,843,1705,6234,18414,35958,47270,47955,46792,43853,42881,42881,42479,41419,36994,33701,31611,29810,26414,22071,13839
