status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,84082,89070,74283,70398,73738,76051,79081,85541,101942,126698
Reported Fixed,68010,69703,46614,43542,38316,39811,39712,42497,49855,64566
