method,1,2,3,4,5,6,7,8,9,10
Desktop,23.0,46.0,81.0,64.0,64.0,84.0,72.0,106.0,84.0,86.0
Mobile,1962.0,2029.0,2005.0,1696.0,1593.0,1329.0,1373.0,1576.0,1567.0,1886.0
Unclear,2570.0,2984.0,3792.0,3156.0,3164.0,3587.0,3529.0,3807.0,4318.0,4517.0
