method,1,2,3,4,5,6,7,8,9,10
Desktop,66.0,70.0,59.0,72.0,53.0,64.0,44.0,72.0,117.0,93.0
Mobile,3410.0,1965.0,1238.0,1413.0,1436.0,1317.0,1549.0,1571.0,1444.0,1703.0
Unclear,4333.0,3819.0,2971.0,3135.0,2855.0,3098.0,3216.0,3830.0,4014.0,4179.0
