year,1,2,3,4,5,6,7,8,9,10
2007,1137,1043,1051,925,872,885,733,910,706,655
2008,2294,2080,2034,1825,1789,1809,1568,1643,1493,1333
2009,4159,3757,3957,3820,3625,3426,3529,3313,3177,2842
2010,5021,4718,5079,4937,4761,4900,4883,4753,4840,4354
2011,5716,5148,5443,5321,5044,5059,4963,5033,5012,4604
2012,6499,5847,5891,5685,5774,5683,5511,5599,5798,5510
2013,7711,7204,7143,6977,6973,7515,7080,7281,7775,7522
2014,9289,9844,8940,8643,8926,9525,8870,9040,9036,9188
2015,11604,12026,11663,10942,10588,9961,9583,9341,9336,8912
2016,15446,16048,16437,14525,14610,13583,12110,11433,11404,11583
2017,15767,15835,17327,14362,14903,14096,13065,12319,12193,12763
2018,17838,19692,20692,17989,19148,17578,17261,16715,17500,20169
2019,22322,25655,27277,24268,25398,20096,21424,20757,22094,28227
2020,25219,30838,33913,30951,33313,26792,30049,30626,31467,36001
