repeat_use,1,2,3,4,5,6,7,8,9,10
First Report,1598.0,1082.0,1216.0,880.0,908.0,1178.0,1198.0,904.0,863.0,765.0
Reported Before,7171.0,3092.0,2884.0,2059.0,2127.0,2413.0,2595.0,1765.0,1866.0,1935.0
