status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,119766,79078,68832,67245,72757,68833,71709,75480,75407,75862
Reported Fixed,60860,40301,38850,37384,40687,40978,47789,50528,54103,52885
