status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,58848,63643,67385,66457,68059,73779,74048,83798,92625,126327
Reported Fixed,25606,31985,39999,48679,46668,50091,46321,49717,52667,72632
