method,1,2,3,4,5,6,7,8,9,10
Desktop,23.0,57.0,72.0,58.0,83.0,38.0,104.0,107.0,101.0,67.0
Mobile,2374.0,2235.0,1782.0,1590.0,1507.0,1421.0,1401.0,1361.0,2039.0,1337.0
Unclear,2746.0,3012.0,3612.0,3241.0,3505.0,3139.0,4028.0,4036.0,4340.0,3794.0
