status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,73292,84062,85202,93807,94385,90747,100846,101783,101392,99133
Reported Fixed,39635,44738,49142,57281,64242,65080,66560,62117,61595,64253
