year,1,2,3,4,5,6,7,8,9,10
2007,965,1170,1067,1108,953,863,778,711,655,647
2008,1964,2258,1971,2134,1737,1886,1677,1529,1416,1296
2009,4096,4063,4012,3979,3673,3616,3430,3029,2914,2793
2010,5839,5544,5403,5283,5128,4750,4587,4155,3883,3674
2011,5752,6072,5743,5437,5191,5215,5122,4593,4145,4073
2012,7116,6896,6654,6149,5833,5695,5535,5017,4582,4320
2013,10382,8981,8133,7405,7068,6782,6800,5996,5923,5711
2014,12106,11805,10854,9998,9318,8691,7951,7349,6865,6364
2015,15688,15002,12358,10786,10005,8939,8884,7593,7372,7329
2016,22232,21485,17831,14419,12467,10941,10351,9509,9245,8699
2017,22473,22879,18454,15321,13564,11409,11005,9945,9199,8381
2018,30572,29039,24175,20357,17103,14548,13263,12675,12011,10839
2019,43368,40733,31870,26585,20749,18120,15554,14409,13982,12148
2020,58714,49706,39653,31609,25159,23921,23011,20886,20112,16398
