year,1,2,3,4,5,6,7,8,9,10
2007,963,1001,904,1060,1037,960,810,735,741,706
2008,2034,2095,2025,1907,1887,1780,1669,1602,1405,1464
2009,4275,4177,4080,3943,3442,3377,3237,3059,3128,2887
2010,6078,5538,5255,5274,4440,4564,4757,4371,3917,4052
2011,6095,6195,5708,5329,4842,4956,4838,4699,4429,4252
2012,7323,7018,6482,5891,5616,5530,5373,5121,4861,4582
2013,9799,8541,7687,7530,6838,7094,7187,6734,6025,5746
2014,11154,10419,9421,9376,9013,8826,9006,8350,7853,7883
2015,11621,11749,12235,11001,11414,10037,10689,9234,8500,7476
2016,14871,16477,17212,14839,14747,13051,13067,12042,10779,10094
2017,16050,17044,17732,15001,14804,13553,13505,12785,11818,10338
2018,20447,23093,21838,19380,18967,17700,18094,16776,15211,13076
2019,26263,30380,27656,25387,25978,23054,23001,20045,18578,17176
2020,35749,38331,37376,32349,32266,31046,30214,25631,24176,22031
