method,1,2,3,4,5,6,7,8,9,10
Desktop,964,1230,1555,1725,1828,2016,2150,2546,2989,3379
Mobile,33610,40185,44777,47339,46302,43658,40694,40723,40077,47982
Open311,556,1062,1494,1617,1148,1528,1520,1949,1491,1590
Unclear,69798,80558,95385,102361,102359,107771,109614,113385,123205,135172
