status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,9467,6321,5664,4845,4475,5299,4383,4782,4315,3001
Reported Fixed,2985,2592,2406,2055,2083,2436,1977,2184,1918,1554
