status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3033,3307,3501,3485,3320,3444,3091,3683,3957,4228
Reported Fixed,1326,1384,1667,1516,1619,2260,1520,2057,2251,2501
