answered_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,13684,6338,3304,2197,1981,3955,12660,35603,65993,83738,85629,85280,82185,80054,79409,79819,79138,73720,69260,64129,59881,54323,45047,27789
Yes,1805,757,411,303,306,506,1607,4112,8265,11451,12025,12220,11747,11309,11429,11308,11368,10499,9806,9462,9193,8211,6691,3867
