year,Urban,Rural,More Rural
2012,46908,5265,7150
2013,62508,7589,11847
2014,79975,9047,12282
2015,92997,9488,12126
2016,123142,11336,16184
2017,127093,12093,17393
2018,155822,17342,26388
2019,175700,18777,26164
2020,216710,24490,37958
