year,First Report,Reported Before
2007,3327,2052
2008,7388,4674
2009,5579,7813
2010,6144,8316
2011,6160,7857
2012,5947,7783
2013,6737,8354
2014,7298,8153
2015,7251,7729
2016,8944,9856
2017,9824,10743
2018,11261,11960
2019,10896,10399
2020,14292,12782
