status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,112508,112234,104641,95299,92772,91671,87802,81911,74863,70948
Reported Fixed,60214,69824,70970,62968,62519,53857,57645,49273,46558,40815
