year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2007,113,46,32,15,16,9,40,147,384,690,750,795,799,752,676,696,694,629,514,476,531,477,399,258
2008,519,272,103,53,41,42,98,319,760,1315,1528,1504,1615,1594,1551,1462,1506,1376,1210,1218,1234,1251,1153,760
2009,660,336,185,102,93,105,208,636,1618,2480,2806,2885,2786,2897,2807,2646,2892,2564,2332,2214,2465,2077,2011,1223
2010,810,410,185,148,109,106,301,860,2451,3643,3815,3857,3736,3788,3728,3579,3799,3452,3233,3241,3375,2879,2384,1679
2011,898,413,242,153,102,148,355,997,2636,3763,3830,4113,4191,4246,4169,4072,4064,3810,3645,3677,3728,3419,2863,1833
2012,905,423,239,133,112,164,394,1207,2750,4188,4314,4531,4419,4489,4316,4302,4676,4387,4149,4141,4019,3651,2928,1873
2013,1204,661,342,209,137,198,559,1637,3679,5665,5510,5603,5540,5265,5225,5256,5469,5117,4878,4836,4600,4435,3642,2277
2014,1546,657,298,187,154,274,792,2271,4814,6312,6540,6222,6373,6489,6398,6306,6742,6565,6398,5906,5864,5851,5040,3305
2015,1671,682,286,211,232,369,1054,3191,6308,8022,7842,7644,7337,7194,7098,7157,7161,7498,7230,6350,6201,5707,4952,3214
2016,1623,714,442,278,299,485,1520,4415,8074,10212,10550,11038,10360,9972,9651,9991,10325,9106,8904,8490,7943,6917,5741,3612
2017,1683,820,424,289,254,549,1900,4741,8739,11267,11076,10957,10655,10284,10351,10738,10477,9736,8799,8588,7931,6971,5965,3385
2018,2087,902,550,394,334,719,2413,6663,11909,14413,14964,14910,14003,13715,13563,13517,13677,12445,12003,11050,9998,8898,7426,4321
2019,2175,976,504,371,370,892,2924,8583,15488,20390,21211,20387,18797,18180,18621,18339,16702,14123,12654,11684,10764,9643,7632,4514
2020,2998,1480,780,549,507,1012,3189,9162,17909,24743,26798,27219,25890,25472,25582,25217,21798,18401,16213,14433,13529,12000,9688,5877
