method,1,2,3,4,5,6,7,8,9,10
Desktop,961,1329,1780,1798,1990,2348,2456,2474,2618,2628
Mobile,38781,49500,48397,52914,46877,46084,38595,36254,35753,32192
Open311,446,814,1432,1676,1569,1490,1986,1535,1308,1699
Unclear,73065,87558,100790,110750,107517,115017,118697,108998,112271,104945
