status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,2965,3114,3743,2871,2726,3054,2986,3128,3375,3712
Reported Fixed,1154,1395,1590,1494,1512,1364,1394,1686,1833,1974
