SHEF_C,No Photo,Photo
Abandoned Vehicles & Parking,57092,38705
Access,12696,7475
Environmental Disruptions,53214,21023
Environmental Health,229684,224091
Incivilities,22057,22945
Other,84652,25664
Public Space,13227,12183
Road Safety & Defects,652529,176202
