status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,119630,111488,100198,92701,86512,84340,85669,87106,81604,75401
Reported Fixed,104574,83051,63695,52512,45693,44699,45336,45561,45839,43683
