method,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Desktop,,,,,,,,,,7237.0,7675.0,7144.0
Mobile,38721.0,39805.0,41622.0,34172.0,34421.0,37842.0,38209.0,36498.0,37267.0,41929.0,41506.0,42139.0
Open311,,1.0,4.0,,4.0,8.0,6.0,14.0,32.0,4523.0,4698.0,4682.0
Unclear,126795.0,122908.0,121039.0,90324.0,83387.0,95488.0,97095.0,92173.0,90271.0,76430.0,79816.0,77554.0
