year,Desktop,Mobile,Open311,Unclear
2007,,,,9938.0
2008,,37.0,,22447.0
2009,,697.0,,40331.0
2010,,1489.0,,54079.0
2011,,2055.0,,59312.0
2012,,3414.0,,63296.0
2013,,1686.0,,80258.0
2014,,15567.0,,85737.0
2015,,29699.0,,84912.0
2016,,49102.0,,101560.0
2017,,57103.0,,99476.0
2018,,77373.0,,127501.0
2019,,90858.0,3.0,165063.0
2020,22056.0,135051.0,13969.0,159370.0
