status,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Not Reported Fixed,5643,12993,24485,31606,34835,39821,48866,64897,72446,90755,96345,125409,153929,226079
Reported Fixed,4295,9491,16543,23962,26532,26889,33078,36407,42165,59907,60234,79465,101995,104367
