status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,5147,4239,3858,4723,4701,5083,5357,5725,6394,7322
Reported Fixed,1708,1690,1466,2139,1918,2335,2490,2727,2627,3088
