answered_survey,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,140855,139372,139563,106134,101354,114559,116416,111437,110118,112728,116541,114843
Yes,24661,23342,23102,18362,16458,18779,18894,17248,17452,17391,17154,16676
