status-council,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,9938.0,22482.0,40987.0,55491.0,61293.0,66319.0,80167.0,98307.0,110503.0,134356.0,138518.0,177708.0,203545.0,282209.0
Yes,,2.0,41.0,77.0,74.0,391.0,1777.0,2997.0,4108.0,16306.0,18061.0,27166.0,52379.0,48237.0
