year,1,2,3,4,5,6,7,8,9,10
2007,1500,1426,977,827,745,773,724,730,692,523
2008,2310,2441,2040,1563,1714,1710,1693,1512,1599,1286
2009,4344,4706,3984,3332,3306,3313,3330,3183,3316,2791
2010,4637,6090,5015,4569,4718,4938,4937,4701,4599,4042
2011,4706,5992,5556,5093,5062,5023,5349,4881,5150,4531
2012,5589,7059,6165,5440,5364,5550,5675,5683,5830,5442
2013,6771,7843,7415,6718,6806,7345,7370,7496,8108,7309
2014,9295,11474,10013,8635,8434,8945,8879,8721,9077,7828
2015,16784,13259,11297,9100,9015,9202,8900,8954,9285,8160
2016,28262,18358,13546,10934,10915,11591,11183,10615,11527,10248
2017,27941,19361,15090,11501,11510,11628,11766,11637,11852,10344
2018,33366,24067,17591,14782,14836,15623,15762,16179,17650,14726
2019,49625,34186,21484,17704,17718,18155,18634,19625,23941,16446
2020,56662,38207,26784,22980,23442,25509,26219,28179,32805,28382
