repeat_use,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
First Report,6065,11286,20615,22165,21281,21552,23621,26701,27021,31669,33764,40853,39296,54129
Reported Before,3873,11198,20413,33403,40086,45158,58323,74603,87590,118993,122815,164021,216628,276317
