answered_survey,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,4559,10422,27636,41108,47350,52980,66853,85853,99631,131862,136012,181653,234629,303372
Yes,5379,12062,13392,14460,14017,13730,15091,15451,14980,18800,20567,23221,21295,27074
