year,A1,B1,C1,C2,D1,D2,E1,E2
2007,3446,448,4043,14,570,37,563,38
2008,5759,1431,8412,25,1263,55,1438,84
2009,12060,1904,16767,101,2756,100,3007,163
2010,14802,1850,23381,158,4329,211,4982,302
2011,16819,2119,24024,109,4385,227,5284,362
2012,18708,2381,26629,166,5133,193,6428,445
2013,23333,2966,31193,155,6781,261,9919,665
2014,30280,3413,41213,234,8308,238,10697,631
2015,40352,4569,42575,259,8729,214,10393,586
2016,57808,4613,54432,318,10300,292,13610,769
2017,56255,4433,59798,277,11089,253,14956,913
2018,66726,5938,76762,251,17027,463,23806,1266
2019,89200,5982,93821,516,23361,537,30381,1977
2020,106937,8955,123232,520,30808,583,45334,2133
