status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,97731,93470,94150,85232,77638,70897,72573,65878,63469,53931
Reported Fixed,59774,63680,63886,56471,44455,40958,40034,34635,32754,27718
