status-council,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,17620,8262,4344,2955,2581,4627,13909,38243,75958,101795,105927,107278,103532,101586,100711,100550,99257,90941,84817,79595,75931,68594,57356,35454
Yes,1272,530,268,137,179,445,1838,6586,11561,15308,15607,14387,12969,12751,13025,12728,10725,8268,7345,6709,6251,5582,4468,2677
