method,1,2,3,4,5,6,7,8,9,10
Desktop,2348,2336,2124,2045,1792,2006,2099,1862,2077,1693
Mobile,43574,53756,56657,48356,49320,40725,40467,35324,29994,27174
Open311,2549,2217,1765,1053,1094,1581,1111,830,820,935
Unclear,124251,123749,115065,106813,103085,101216,101770,93168,88530,81961
