year,Not Reported Fixed,Reported Fixed
2007,5643,4295
2008,12993,9491
2009,24485,16543
2010,31606,23962
2011,34835,26532
2012,39821,26889
2013,48866,33078
2014,64897,36407
2015,72446,42165
2016,90755,59907
2017,96345,60234
2018,125409,79465
2019,153929,101995
2020,226079,104367
